gt,sub,cost
0,1,0.8461538461538461
0,8,0.9137931034482758
0,9,0.9305555555555556
1,0,0.9242424242424242
1,7,0.9180327868852459
2,3,0.9253731343283582
2,9,0.8611111111111112
3,2,0.8529411764705882
3,5,0.9242424242424242
4,1,0.8461538461538461
4,2,0.9264705882352942
4,5,0.9242424242424242
4,7,0.7540983606557377
5,4,0.9285714285714286
5,6,0.927536231884058
6,0,0.9242424242424242
6,4,0.9285714285714286
6,5,0.9242424242424242
6,9,0.8611111111111112
8,0,0.9242424242424242
8,1,0.9230769230769231
8,3,0.9253731343283582
8,6,0.927536231884058
9,0,0.9242424242424242
9,2,0.9264705882352942
9,3,0.9253731343283582
9,5,0.9242424242424242
A,O,0.9
C,G,0.5833333333333334
C,L,0.8
D,B,0.2857142857142858
D,O,0.9
D,T,0.375
F,E,0.6153846153846154
I,T,0.375
J,D,0.6153846153846154
J,I,0.16666666666666674
J,T,0.375
K,R,0.16666666666666674
K,V,0.5454545454545454
L,C,0.5
M,W,0.16666666666666674
O,Q,0.6428571428571429
P,O,0.9
Q,O,0.7
Q,U,0.7222222222222222
T,I,0.16666666666666674
W,M,0.4444444444444444
Y,V,0.5454545454545454
